;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;CARRERA;SEXO;CANTIDAD
;;;TECNOLOGIA DE PRODUCCION AGROINDUSTRIAL;FEMENINO;63
;;;TECNOLOGIA DE PRODUCCION AGROINDUSTRIAL;MASCULINO;39
;;;;TOTAL;102
;;;;;
;;;INGENIERÌA EN AGROALIMENTACIÒN;MASCULINO;80
;;;INGENIERÌA EN AGROALIMENTACIÒN;FEMENINO;120
;;;;TOTAL;200
;;;;;
;;;INGENIERIA EN INFORMATICA;MASCULINO;129
;;;INGENIERIA EN INFORMATICA;FEMENINO;122
;;;;TOTAL;251
;;;;;
;;;INGENIERIA EN CONSTRUCCION CIVIL;FEMENINO;107
;;;INGENIERIA EN CONSTRUCCION CIVIL;MASCULINO;136
;;;;TOTAL;243
;;;;;
;;;LICENCIATURA EN ADMINISTRACIÒN;FEMENINO;457
;;;LICENCIATURA EN ADMINISTRACIÒN;MASCULINO;147
;;;;TOTAL;604
